State,Date,Sample Size,Pollster,Democratic Candidate,Democratic Result,Trump Result
Alabama,"April 13-21, 2024",513,John Zogby Strategies,Harris,31%,56%
Kentucky,"April 13-21, 2024",402,John Zogby Strategies,Harris,35%,52%
North Dakota,"Sept. 28-30, 2024",500,WPA Intelligence,Harris,32%,59%
Alaska,"Oct. 20-22, 2024","1,703",Alaska Survey Research,Harris,45%,55%
Louisiana,"April 22-26, 2024",800,Faucheux Strategies,Harris,33%,48%
Ohio,"Nov. 2-4, 2024","1,095",Trafalgar Group,Harris,45%,52%
Arizona,"Nov. 3-4, 2024",875,AtlasIntel,Harris,47%,52%
Maine,"Oct. 29-Nov. 2, 2024",683,University of New Hampshire Survey Center,Harris,44%,48%
Oklahoma,"Oct. 3-29, 2024",400,ActiVote,Harris,33%,67%
Arkansas,"Sept. 5-6, 2024",696,Hendrix College,Harris,40%,55%
Maryland,"Oct. 23-Nov. 1, 2024",472,Morning Consult,Harris,64%,31%
Oregon,"Oct. 16-17, 2024",716,Public Policy Polling,Harris,53%,41%
California,"Nov. 2-3, 2024",450,Research Co.,Harris,64%,32%
Massachusetts,"Oct. 29-Nov. 2, 2024",744,University of New Hampshire Survey Center,Harris,60%,34%
Pennsylvania,"Nov. 3-4, 2024","1,840",AtlasIntel,Harris,49%,50%
Colorado,"Oct. 28-30, 2024",600,Keating Research,Harris,53%,41%
Michigan,"Nov. 3-4, 2024","1,113",AtlasIntel,Harris,48%,50%
Rhode Island,"Oct. 29-Nov. 2, 2024",708,University of New Hampshire Survey Center,Harris,54%,40%
Connecticut,"Sept. 12-18, 2024",800,MassINC Polling Group,Harris,53%,37%
Minnesota,"Nov. 1-4, 2024","2,065",AtlasIntel,Harris,49%,47%
South Carolina,"Oct. 5-29, 2024",400,ActiVote,Harris,42%,59%
Delaware,"Sept. 19-21, 2024",500,Slingshot Strategies,Harris,54%,37%
Mississippi,"April 13-21, 2024",423,John Zogby Strategies,Harris,37%,50%
South Dakota,"Oct. 19-22, 2024",825,Emerson College,Harris,37%,62%
District of Columbia,"Oct. 20-Nov. 2, 2020",495,SurveyMonkey,Harris,94%,
Missouri,"Nov. 2-3, 2024",450,Research Co.,Harris,39%,54%
Tennessee,"Oct. 5-28, 2024",400,ActiVote,Harris,38%,62%
Florida,"Nov. 2-3, 2024",450,Research Co.,Harris,44%,51%
Montana,"Nov. 1-4, 2024",752,AtlasIntel,Harris,39%,59%
Texas,"Nov. 1-4, 2024","2,434",AtlasIntel,Harris,44%,55%
Georgia,"Nov. 3-4, 2024","1,112",AtlasIntel,Harris,48%,50%
Nebraska,"Oct. 30-31, 2024",600,Change Research,Harris,39%,57%
Utah,"Oct. 7-30, 2024",400,ActiVote,Harris,40%,60%
Hawaii,"April 16-23, 2024",250,The Bullfinch Group,Harris,42%,34%
Nevada,"Nov. 3-4, 2024",707,AtlasIntel,Harris,47%,50%
Vermont,"Oct. 29-Nov. 2, 2024","1,167",University of New Hampshire Survey Center,Harris,63%,31%
Idaho,"April 13-21, 2024",309,John Zogby Strategies,Harris,32%,54%
New Hampshire,"Nov. 1-3, 2024",587,The Dartmouth Poll,Harris,62%,34%
Virginia,"Nov. 1-4, 2024","2,202",AtlasIntel,Harris,51%,46%
Illinois,"Oct. 4-28, 2024",400,ActiVote,Harris,58%,42%
New Jersey,"Nov. 2-3, 2024",450,Research Co.,Harris,57%,40%
Washington,"Nov. 2-3, 2024",450,Research Co.,Harris,54%,39%
Indiana,"Oct. 3-28, 2024",400,ActiVote,Harris,42%,58%
New Mexico,"Nov. 1-3, 2024",600,Victory Insights,Harris,50%,45%
West Virginia,"Aug. 21-27, 2024",400,Research America,Harris,34%,61%
Iowa,"Nov. 2-3, 2024",435,SoCal Strategies,Harris,44%,52%
New York,"Nov. 2-3, 2024",450,Research Co.,Harris,57%,41%
Wisconsin,"Nov. 3-4, 2024",869,AtlasIntel,Harris,49%,50%
Kansas,"Sept. 26-Oct. 16, 2024",517,Fort Hays State University Docking Institute of Public Affairs,Harris,43%,48%
North Carolina,"Nov. 3-4, 2024","1,219",AtlasIntel,Harris,48%,50%
